loan_id,original_loan_amount,loan_to_value_ratio,debt_to_income_ratio,credit_score,current_loan_balance,monthly_payment,prepayment_penalty_flag,property_type,occupancy_status,loan_purpose,number_of_borrowers,first_time_homebuyer_flag,servicer_name,current_interest_rate,zero_balance_code,zero_balance_date
LOAN_000000,349671.4153011233,64.82257904269167,33.48286247666818,561.5542425951675,212251.3961358879,1549.1030728395285,N,CO,P,C,1,Y,WELLS FARGO,4.95868220530562,03,2024-09-02
LOAN_000001,286173.56988288154,70.41750805419521,32.83323592535667,635.6011482450502,331016.197681248,1467.945885561698,N,PU,P,C,4,Y,QUICKEN,3.9013021773980743,03,2024-07-14
LOAN_000002,364768.85381006927,66.03928408432286,20.634801541945087,673.0377274965931,234145.05221581456,1975.8953780097681,N,SF,P,C,2,N,CHASE,4.938071100452225,03,2024-06-04
LOAN_000003,452302.98564080254,76.6562707041918,35.795842217637386,731.9735128739753,257245.54117741116,2266.4155707131104,N,SF,P,P,1,N,WELLS FARGO,4.007561280461059,03,2024-05-16
LOAN_000004,276584.6625276664,92.95767797192869,15.09917324423382,801.9329861285503,307391.2485310174,1843.4234720673082,Y,SF,P,C,1,N,BANK OF AMERICA,3.6669660485389506,03,2024-06-09
LOAN_000005,276586.30430508195,63.43436764288193,23.458156742396714,775.5308754697412,245282.92745208475,2005.7718755852316,N,CO,P,P,2,N,WELLS FARGO,4.092902701344506,03,2024-07-14
LOAN_000006,457921.28155073914,90.01230746652621,10.009121871021922,625.6540161242011,104572.17133361127,1391.2978838467927,N,SF,P,P,2,N,QUICKEN,4.231831835274376,03,2024-10-21
LOAN_000007,376743.47291529085,63.274918914796686,45.58626516962815,690.2630190267478,333247.0003642838,1562.7024030695673,N,SF,P,R,2,Y,QUICKEN,6.2400373269792775,03,2024-08-13
LOAN_000008,253052.5614065048,62.28559181254674,27.684505060547046,726.1100470962053,350394.30639320414,2242.86603679982,Y,CO,S,C,2,N,QUICKEN,5.617421673675771,01,2024-09-04
LOAN_000009,354256.00435859646,87.2789192751482,51.668840348163116,699.0234300442801,103510.71267196452,1763.3557301291141,N,SF,P,P,1,N,CHASE,4.65729831134146,03,2024-11-08
LOAN_000010,253658.23071875377,88.82904567011425,38.02949926519495,698.4563819305365,166536.70354707696,1378.9850621185922,N,SF,I,P,2,Y,CHASE,3.1082253245273423,03,2024-05-23
